threads,dq,event,value
4,1024,cycles,4429983799.0
4,1024,instructions,22636685665.0
4,1024,cache-misses,20349070.0
4,1024,branches,667584164.0
4,1024,branch-misses,37972.0
4,2048,task-clock,779.96
4,2048,cycles,4210929463.0
4,2048,instructions,22548495516.0
4,2048,cache-misses,5244107.0
4,2048,branches,661162946.0
4,2048,branch-misses,1081279.0
6,2,task-clock,114022.81
6,2,cycles,257531932520.0
6,2,instructions,740448560692.0
6,2,cache-misses,172523915.0
6,2,branches,109934611248.0
6,2,branch-misses,1391544698.0
6,4,task-clock,16568.07
6,4,cycles,45050011360.0
6,4,instructions,156021374347.0
6,4,cache-misses,25333582.0
6,4,branches,16450399467.0
6,4,branch-misses,174802566.0
6,8,task-clock,3797.64
6,8,cycles,14667932271.0
6,8,instructions,57288745024.0
6,8,cache-misses,6963344.0
6,8,branches,3673519564.0
6,8,branch-misses,26026594.0
6,16,task-clock,1703.29
6,16,cycles,8344087773.0
6,16,instructions,35390897313.0
6,16,cache-misses,3653117.0
6,16,branches,1549014509.0
6,16,branch-misses,4005730.0
6,32,task-clock,1121.54
6,32,cycles,5862538857.0
6,32,instructions,28239308540.0
6,32,cache-misses,7562676.0
6,32,branches,1023292788.0
6,32,branch-misses,802256.0
6,64,task-clock,959.57
6,64,cycles,5005479087.0
6,64,instructions,25241606680.0
6,64,cache-misses,7755035.0
6,64,branches,831172107.0
6,64,branch-misses,1186622.0
6,128,task-clock,910.23
6,128,cycles,4768920178.0
6,128,instructions,23834859032.0
6,128,cache-misses,10628426.0
6,128,branches,743349173.0
6,128,branch-misses,309495.0
6,256,task-clock,976.4
6,256,cycles,5021974549.0
6,256,instructions,23152584011.0
6,256,cache-misses,55497539.0
6,256,branches,701611072.0
6,256,branch-misses,7219203.0
6,512,task-clock,887.61
6,512,cycles,4602441286.0
6,512,instructions,22808765403.0
6,512,cache-misses,31450185.0
6,512,branches,679097445.0
6,512,branch-misses,52277.0
6,1024,task-clock,855.5
6,1024,cycles,4445711281.0
6,1024,instructions,22641878174.0
6,1024,cache-misses,19938827.0
6,1024,branches,669067000.0
6,1024,branch-misses,37893.0
6,2048,task-clock,778.24
6,2048,cycles,4207141747.0
6,2048,instructions,22548495518.0
6,2048,cache-misses,4357930.0
6,2048,branches,661162949.0
6,2048,branch-misses,1080646.0
8,2,task-clock,114281.03
8,2,cycles,258291173506.0
8,2,instructions,740453765245.0
8,2,cache-misses,174170874.0
8,2,branches,109936097384.0
8,2,branch-misses,1393985877.0
8,4,task-clock,17096.24
8,4,cycles,47159931299.0
8,4,instructions,156461706331.0
8,4,cache-misses,29409661.0
8,4,branches,16536669684.0
8,4,branch-misses,177623510.0
8,8,task-clock,3776.98
8,8,cycles,14625664019.0
8,8,instructions,57347554485.0
8,8,cache-misses,7506544.0
8,8,branches,3685224408.0
8,8,branch-misses,26593585.0
8,16,task-clock,1702.68
8,16,cycles,8315930862.0
8,16,instructions,35392604319.0
8,16,cache-misses,3842463.0
8,16,branches,1549501608.0
8,16,branch-misses,4038545.0
8,32,task-clock,1183.45
8,32,cycles,6166444191.0
8,32,instructions,28246561393.0
8,32,cache-misses,9144490.0
8,32,branches,1025301220.0
8,32,branch-misses,870032.0
8,64,task-clock,1002.19
8,64,cycles,5204044968.0
8,64,instructions,25247928004.0
8,64,cache-misses,9116506.0
8,64,branches,832986989.0
8,64,branch-misses,1216343.0
8,128,task-clock,921.9
8,128,cycles,4821778675.0
8,128,instructions,23839921484.0
8,128,cache-misses,10591288.0
8,128,branches,744794962.0
8,128,branch-misses,311173.0
8,256,task-clock,988.98
8,256,cycles,5089438487.0
8,256,instructions,23158510872.0
8,256,cache-misses,53211625.0
8,256,branches,703303716.0
8,256,branch-misses,6831060.0
8,512,task-clock,928.94
8,512,cycles,4743889210.0
8,512,instructions,22819053164.0
8,512,cache-misses,34799465.0
8,512,branches,682036199.0
8,512,branch-misses,52802.0
8,1024,task-clock,916.43
8,1024,cycles,4657866335.0
8,1024,instructions,22650556514.0
8,1024,cache-misses,18642751.0
8,1024,branches,671545865.0
